DADOS | WAVY_24 | AGREGADOR_1 | Humidade | 32,7 | 2025-05-26T15:48:19.4830768Z
DADOS | WAVY_25 | AGREGADOR_1 | Humidade | 68,0 | 2025-05-26T15:48:20.1407765Z
DADOS | WAVY_30 | AGREGADOR_1 | Humidade | 78,6 | 2025-05-26T15:48:29.1243456Z
DADOS | WAVY_31 | AGREGADOR_1 | Humidade | 66,3 | 2025-05-26T15:48:29.6079523Z
DADOS | WAVY_44 | AGREGADOR_1 | Humidade | 90,6 | 2025-05-26T20:12:24.9785021Z
DADOS | WAVY_46 | AGREGADOR_1 | Humidade | 80,1 | 2025-05-26T20:12:26.2796831Z
DADOS | WAVY_53 | AGREGADOR_1 | Humidade | 42,8 | 2025-05-26T20:12:38.3452288Z
DADOS | WAVY_54 | AGREGADOR_1 | Humidade | 56,5 | 2025-05-26T20:12:39.1941516Z
DADOS | WAVY_55 | AGREGADOR_1 | Humidade | 38,9 | 2025-05-26T20:12:39.8508089Z
DADOS | WAVY_62 | AGREGADOR_1 | Humidade | 38,0 | 2025-05-26T20:12:50.9162545Z
DADOS | WAVY_64 | AGREGADOR_1 | Humidade | 96,2 | 2025-05-26T20:12:52.5071189Z
DADOS | WAVY_71 | AGREGADOR_1 | Humidade | 74,0 | 2025-05-26T20:13:04.1101522Z
DADOS | WAVY_72 | AGREGADOR_1 | Humidade | 89,0 | 2025-05-26T20:13:05.0780581Z
DADOS | WAVY_44 | AGREGADOR_1 | Humidade | 82,6 | 2025-05-26T20:13:25.1454131Z
DADOS | WAVY_45 | AGREGADOR_1 | Humidade | 61,6 | 2025-05-26T20:13:25.8632198Z
DADOS | WAVY_46 | AGREGADOR_1 | Humidade | 96,8 | 2025-05-26T20:13:26.4099282Z
DADOS | WAVY_54 | AGREGADOR_1 | Humidade | 46,4 | 2025-05-26T20:13:39.3427673Z
DADOS | WAVY_55 | AGREGADOR_1 | Humidade | 72,2 | 2025-05-26T20:13:39.9939836Z
DADOS | WAVY_62 | AGREGADOR_1 | Humidade | 46,1 | 2025-05-26T20:13:51.0712275Z
DADOS | WAVY_63 | AGREGADOR_1 | Humidade | 36,2 | 2025-05-26T20:13:51.8876925Z
DADOS | WAVY_64 | AGREGADOR_1 | Humidade | 56,5 | 2025-05-26T20:13:52.6802207Z
DADOS | WAVY_71 | AGREGADOR_1 | Humidade | 45,1 | 2025-05-26T20:14:04.2530636Z
DADOS | WAVY_44 | AGREGADOR_1 | Humidade | 86,9 | 2025-05-26T20:14:25.1624019Z
DADOS | WAVY_45 | AGREGADOR_1 | Humidade | 84,3 | 2025-05-26T20:14:25.8921843Z
DADOS | WAVY_46 | AGREGADOR_1 | Humidade | 96,5 | 2025-05-26T20:14:26.4361264Z
DADOS | WAVY_64 | AGREGADOR_1 | Humidade | 82,1 | 2025-05-26T20:14:52.6916496Z
DADOS | WAVY_71 | AGREGADOR_1 | Humidade | 56,9 | 2025-05-26T20:15:04.2694485Z
DADOS | WAVY_72 | AGREGADOR_1 | Humidade | 58,2 | 2025-05-26T20:15:05.2840901Z
DADOS | WAVY_73 | AGREGADOR_1 | Humidade | 82,5 | 2025-05-26T20:15:06.1114715Z
DADOS | WAVY_44 | AGREGADOR_1 | Humidade | 30,1 | 2025-05-26T20:15:25.1769952Z
DADOS | WAVY_46 | AGREGADOR_1 | Humidade | 87,9 | 2025-05-26T20:15:26.4718855Z
DADOS | WAVY_54 | AGREGADOR_1 | Humidade | 93,1 | 2025-05-26T20:15:39.3822793Z
DADOS | WAVY_55 | AGREGADOR_1 | Humidade | 39,1 | 2025-05-26T20:15:40.0326097Z
DADOS | WAVY_71 | AGREGADOR_1 | Humidade | 68,6 | 2025-05-26T20:16:04.2849015Z
DADOS | WAVY_73 | AGREGADOR_1 | Humidade | 57,5 | 2025-05-26T20:16:06.1242680Z
DADOS | WAVY_45 | AGREGADOR_1 | Humidade | 59,7 | 2025-05-26T20:16:25.9376483Z
DADOS | WAVY_46 | AGREGADOR_1 | Humidade | 98,5 | 2025-05-26T20:16:26.4851153Z
DADOS | WAVY_53 | AGREGADOR_1 | Humidade | 63,9 | 2025-05-26T20:16:38.5502185Z
DADOS | WAVY_54 | AGREGADOR_1 | Humidade | 63,9 | 2025-05-26T20:16:39.4069228Z
DADOS | WAVY_55 | AGREGADOR_1 | Humidade | 74,9 | 2025-05-26T20:16:40.0479396Z
